"name"	"desc"	"range"	"minRange"	"maxRange"	"use"
"Time"	"Time"	1048576	0	1048576	0
"Event_length"	"Event_length"	4096	0	4096	0
"Y89Di"	"89Y_CD45"	32768	0	32768	1
"Pd102Di"	"102Pd_BC102"	32768	0	32768	0
"Pd104Di"	"104Pd_BC104"	32768	0	32768	0
"Pd105Di"	"105Pd_BC105"	32768	0	32768	0
"Pd106Di"	"106Pd_BC106"	16384	0	16384	0
"Pd108Di"	"108Pd_BC108"	32768	0	32768	0
"Pd110Di"	"110Pd_BC110"	32768	0	32768	0
"In113Di"	"113In_CD61_CD235ab"	32768	0	32768	1
"In115Di"	"115In_CD44"	8192	0	8192	1
"Xe131Di"	"131Xe_Bkgd"	4096	0	4096	0
"Ba138Di"	"138Ba_Bkgd"	32768	0	32768	0
"La139Di"	"139La_CD11c"	4096	0	4096	1
"Ce140Di"	"140Ce_CD66"	8192	0	8192	1
"Pr141Di"	"141Pr_CD16"	4096	0	4096	1
"Ce142Di"	"142Ce_Beads142"	4096	0	4096	0
"Nd142Di"	"142Nd_TCR Vd2"	4096	0	4096	1
"Nd143Di"	"143Nd_CD45RA"	16384	0	16384	1
"Nd144Di"	"144Nd_CTLA4"	4096	0	4096	1
"Nd145Di"	"145Nd_CD4"	4096	0	4096	1
"Nd146Di"	"146Nd_CD8a"	4096	0	4096	1
"Sm147Di"	"147Sm_CD303 (BDCA2)"	8192	0	8192	1
"Nd148Di"	"148Nd_ICOS"	16384	0	16384	1
"Sm149Di"	"149Sm_CD45RO"	4096	0	4096	1
"Nd150Di"	"150Nd_LAG-3"	16384	0	16384	1
"Eu151Di"	"151Eu_CD14"	8192	0	8192	1
"Sm152Di"	"152Sm_TCRgd"	4096	0	4096	1
"Eu153Di"	"153Eu_TIM-3"	32768	0	32768	1
"Sm154Di"	"154Sm_TIGIT"	8192	0	8192	1
"Gd155Di"	"155Gd_PD-1"	16384	0	16384	1
"Gd156Di"	"156Gd_TNFa"	32768	0	32768	1
"Gd157Di"	"157Gd_Epcam"	16384	0	16384	1
"Gd158Di"	"158Gd_CD135 (OX40)"	32768	0	32768	1
"Tb159Di"	"159Tb_CD137 (4-1BB)"	4096	0	4096	1
"Dy160Di"	"160Dy_EOMES"	32768	0	32768	1
"Dy161Di"	"161Dy_T-bet"	4096	0	4096	1
"Dy162Di"	"162Dy_FoxP3"	8192	0	8192	1
"Dy163Di"	"163Dy_BTLA"	4096	0	4096	1
"Dy164Di"	"164Dy_CD161 (KLRB1)"	4096	0	4096	1
"Ho165Di"	"165Ho_IFNg"	8192	0	8192	1
"Er166Di"	"166Er_IL-2"	4096	0	4096	1
"Er167Di"	"167Er_CD27"	4096	0	4096	1
"Er168Di"	"168Er_CD127 (IL-7Ra)"	4096	0	4096	1
"Tm169Di"	"169Tm_CD25"	16384	0	16384	1
"Er170Di"	"170Er_CD3"	4096	0	4096	1
"Yb171Di"	"171Yb_GITR"	4096	0	4096	1
"Yb172Di"	"172Yb_Ki-67"	16384	0	16384	1
"Yb173Di"	"173Yb_GzmB"	8192	0	8192	1
"Yb174Di"	"174Yb_HLA-DR"	65536	0	65536	1
"Lu175Di"	"175Lu_PD-L1"	8192	0	8192	1
"Lu176Di"	"176Lu_IGNORE"	16384	0	16384	0
"Yb176Di"	"176Yb_CD56"	16384	0	16384	1
"BCKG190Di"	"190BCKG_Bkgd"	4096	0	4096	0
"Ir191Di"	"191Ir_DNA1"	16384	0	16384	1
"Ir193Di"	"193Ir_DNA2"	16384	0	16384	0
"Pt194Di"	"194Pt_Viability"	65536	0	65536	0
"Pt195Di"	"195Pt_Viability"	65536	0	65536	0
"Pt198Di"	"198Pt_Viability"	32768	0	32768	0
"Pb208Di"	"208Pb_Viability"	65536	0	65536	0
"Bi209Di"	"209Bi_CD11b"	131072	0	131072	1
"Pd_sum"	"Pd_sum"	73689	0	73688	0
"Pt_best"	"Pt_best"	17985	0	17984	0
